day,month,year,hour,minute,second,umid,temp,gX,gY,gZ
3,1,25,18,23,41,72,140,0,0,0
3,1,25,18,23,42,65,140,0,0,0
3,1,25,18,23,44,72,140,36,0,4
3,1,25,18,23,45,72,140,38,0,0
3,1,25,18,23,46,72,140,50,55,22
3,1,25,18,23,48,72,140,48,32,7
3,1,25,18,23,49,72,140,30,52,8
3,1,25,18,23,50,72,140,62,34,4
3,1,25,18,23,52,72,140,19,0,14
3,1,25,18,23,53,72,140,50,75,4
3,1,25,18,23,54,72,140,86,131,9
3,1,25,18,23,56,72,140,77,97,3
3,1,25,18,23,57,72,140,70,93,9
3,1,25,18,23,58,71,140,0,0,0
3,1,25,18,24,0,71,140,0,0,0
3,1,25,18,24,1,71,140,0,0,0
3,1,25,18,24,2,71,140,0,0,0
3,1,25,18,24,4,71,140,0,0,0
3,1,25,18,24,5,71,140,0,0,0
3,1,25,18,24,6,71,140,0,0,0
3,1,25,18,24,8,71,140,0,0,0
3,1,25,18,24,9,71,140,0,0,0
3,1,25,18,24,10,71,140,0,0,0
3,1,25,18,24,12,71,140,0,0,0
3,1,25,18,24,13,71,140,0,0,0
3,1,25,18,24,14,71,140,0,0,0
3,1,25,18,24,16,71,140,0,0,0
3,1,25,18,24,17,70,140,0,0,0
3,1,25,18,24,18,70,140,0,0,0
3,1,25,18,24,20,70,140,0,0,0
3,1,25,18,24,21,70,140,0,0,0
3,1,25,18,24,22,70,140,0,0,0
3,1,25,18,24,24,70,140,0,0,0
3,1,25,18,24,25,70,140,0,0,0
3,1,25,18,24,26,70,140,0,0,0
3,1,25,18,24,28,70,140,0,0,0
3,1,25,18,24,29,70,140,0,0,0
3,1,25,18,24,30,70,140,0,0,0
3,1,25,18,24,32,70,140,4,6,0
3,1,25,18,24,33,70,140,0,72,4
3,1,25,18,24,34,70,140,0,41,0
3,1,25,18,24,36,70,140,8,65,8
3,1,25,18,24,37,70,140,16,20,6
3,1,25,18,24,38,70,140,55,17,6
3,1,25,18,24,40,70,140,23,7,11
3,1,25,18,24,41,70,140,33,50,104
3,1,25,18,24,42,70,140,113,177,136
3,1,25,18,24,44,70,140,108,214,181
3,1,25,18,24,45,70,140,144,244,162
3,1,25,18,24,46,70,140,95,255,192
3,1,25,18,24,48,70,140,86,255,255
3,1,25,18,24,49,70,140,109,190,255
3,1,25,18,24,50,70,140,13,40,17
3,1,25,18,24,52,70,140,0,0,0
3,1,25,18,24,53,70,140,0,0,0
3,1,25,18,24,54,70,140,0,0,0
3,1,25,18,24,56,70,140,0,0,0
3,1,25,18,24,57,70,140,0,0,0
3,1,25,18,24,58,70,140,0,0,0
3,1,25,18,25,0,70,140,0,0,0
3,1,25,18,25,1,70,140,0,0,0
3,1,25,18,25,2,70,140,0,0,0
3,1,25,18,25,4,70,140,0,0,0
3,1,25,18,25,5,71,140,0,0,0
3,1,25,18,25,6,71,140,0,0,0
3,1,25,18,25,8,71,140,0,0,0
3,1,25,18,25,9,70,140,0,0,0
3,1,25,18,25,10,70,140,0,0,0
3,1,25,18,25,12,70,140,0,0,0
3,1,25,18,25,13,70,140,0,0,0
3,1,25,18,25,14,70,140,0,0,0
3,1,25,18,25,16,70,140,0,0,0
3,1,25,18,25,17,70,140,0,0,0
3,1,25,18,25,18,70,140,0,0,0
3,1,25,18,25,20,70,140,0,0,0
3,1,25,18,25,21,70,140,0,0,0
3,1,25,18,25,22,70,140,0,0,0
3,1,25,18,25,24,70,140,0,0,0
3,1,25,18,25,25,70,140,0,0,0
3,1,25,18,25,26,70,140,0,0,0
3,1,25,18,25,28,70,140,0,0,0
3,1,25,18,25,29,70,140,0,0,0
3,1,25,18,25,30,69,140,0,0,0
3,1,25,18,25,32,69,140,0,0,0
3,1,25,18,25,33,69,140,0,0,0
3,1,25,18,25,35,69,140,0,0,0
3,1,25,18,25,36,69,140,0,0,0
3,1,25,18,25,37,69,140,0,0,0
3,1,25,18,25,39,69,140,0,0,0
3,1,25,18,25,40,69,140,0,0,0
3,1,25,18,25,41,69,140,0,0,0
3,1,25,18,25,43,69,140,0,0,0
3,1,25,18,25,44,69,140,0,0,0
3,1,25,18,25,45,69,140,0,0,0
3,1,25,18,25,47,69,140,0,0,0
3,1,25,18,25,48,69,140,0,0,0
3,1,25,18,25,49,69,140,0,0,0
3,1,25,18,25,51,69,140,0,0,0
3,1,25,18,25,52,69,140,0,0,0
3,1,25,18,25,53,69,140,0,0,0
3,1,25,18,25,55,69,140,0,0,0
3,1,25,18,25,56,70,140,0,0,0
3,1,25,18,25,57,70,140,0,0,0
3,1,25,18,25,59,70,140,0,0,0
3,1,25,18,26,0,70,140,0,0,0
3,1,25,18,26,1,70,140,0,0,0
3,1,25,18,26,3,70,140,0,0,0
3,1,25,18,26,4,70,140,0,0,0
3,1,25,18,26,5,70,140,0,0,0
3,1,25,18,26,7,70,140,0,0,0
3,1,25,18,26,8,70,140,0,0,0
3,1,25,18,26,9,70,140,0,0,0
3,1,25,18,26,11,70,140,0,0,0
3,1,25,18,26,12,70,140,0,0,0
3,1,25,18,26,13,70,140,0,0,0
3,1,25,18,26,15,70,140,0,0,0
3,1,25,18,26,16,70,140,0,0,0
3,1,25,18,26,17,70,140,0,0,0
3,1,25,18,26,19,70,140,0,0,0
3,1,25,18,26,20,70,140,0,0,0
3,1,25,18,26,21,70,140,0,0,0
3,1,25,18,26,23,70,140,0,0,0
3,1,25,18,26,24,70,140,0,0,0
3,1,25,18,26,25,70,140,0,0,0
3,1,25,18,26,27,70,140,0,0,0
3,1,25,18,26,28,70,140,0,0,0
3,1,25,18,26,29,70,140,1,0,0
3,1,25,18,26,31,70,140,0,0,0
3,1,25,18,26,32,70,140,0,0,0
3,1,25,18,26,33,70,140,0,0,0
3,1,25,18,26,35,70,140,0,0,0
3,1,25,18,26,36,70,140,0,0,0
3,1,25,18,26,37,70,140,0,0,0
3,1,25,18,26,39,70,140,0,0,0
3,1,25,18,26,40,70,140,0,0,0
3,1,25,18,26,41,70,140,0,0,0
3,1,25,18,26,43,70,140,0,0,0
3,1,25,18,26,44,70,140,0,0,0
3,1,25,18,26,45,70,140,0,0,0
3,1,25,18,26,47,70,140,0,0,0
3,1,25,18,26,48,70,140,0,1,24
3,1,25,18,26,49,70,140,117,121,36
3,1,25,18,26,51,70,140,72,170,54
3,1,25,18,26,52,70,140,97,182,98
3,1,25,18,26,53,70,140,45,132,75
3,1,25,18,26,55,70,140,75,136,77
3,1,25,18,26,56,70,140,33,229,109
3,1,25,18,26,57,70,140,86,192,111
3,1,25,18,26,59,70,140,109,208,131
3,1,25,18,27,0,70,140,76,255,85
3,1,25,18,27,1,70,140,92,155,150
3,1,25,18,27,3,70,140,78,126,159
3,1,25,18,27,4,70,140,14,57,15
3,1,25,18,27,5,70,140,5,19,6
3,1,25,18,27,7,70,140,3,22,3
3,1,25,18,27,8,70,140,26,186,38
3,1,25,18,27,9,70,140,28,173,32
3,1,25,18,27,11,70,140,17,200,38
3,1,25,18,27,12,70,140,159,66,64
3,1,25,18,27,14,70,140,206,86,40
3,1,25,18,27,15,70,140,141,46,34
3,1,25,18,27,16,70,140,29,20,14
3,1,25,18,27,18,70,140,0,3,0
3,1,25,18,27,19,70,140,9,12,20
3,1,25,18,27,20,70,140,0,0,0
3,1,25,18,27,22,70,140,0,0,0
3,1,25,18,27,23,70,140,0,0,0
3,1,25,18,27,24,70,140,0,0,0
3,1,25,18,27,26,70,140,0,0,0
3,1,25,18,27,27,70,140,0,0,0
3,1,25,18,27,28,70,140,0,0,0
3,1,25,18,27,30,70,140,0,0,0
3,1,25,18,27,31,70,140,0,0,0
3,1,25,18,27,32,70,140,0,0,0
3,1,25,18,27,34,70,140,0,0,0
3,1,25,18,27,35,70,140,0,0,0
3,1,25,18,27,36,70,140,0,0,0
3,1,25,18,27,38,70,140,0,0,0
3,1,25,18,27,39,70,140,0,0,0
3,1,25,18,27,40,70,140,0,0,0
3,1,25,18,27,42,70,140,0,0,0
3,1,25,18,27,43,70,140,0,0,0
3,1,25,18,27,44,70,140,0,0,0
3,1,25,18,27,46,70,140,0,0,0
3,1,25,18,27,47,70,140,0,0,0
3,1,25,18,27,48,70,140,0,0,0
3,1,25,18,27,50,70,140,0,0,0
3,1,25,18,27,51,70,140,0,0,0
3,1,25,18,27,52,70,140,0,0,0
3,1,25,18,27,54,70,140,0,0,0
3,1,25,18,27,55,69,140,0,0,0
3,1,25,18,27,56,69,140,0,0,0
3,1,25,18,27,58,69,140,0,0,0
3,1,25,18,27,59,70,140,0,0,0
3,1,25,18,28,0,70,140,0,0,0
3,1,25,18,28,2,69,140,0,0,0
3,1,25,18,28,3,69,140,0,0,0
3,1,25,18,28,4,70,140,0,0,0
3,1,25,18,28,6,70,140,0,0,0
3,1,25,18,28,7,70,140,0,0,0
3,1,25,18,28,8,69,140,0,0,0
3,1,25,18,28,10,70,140,0,0,0
3,1,25,18,28,11,69,140,0,0,0
3,1,25,18,28,12,69,140,0,0,0
3,1,25,18,28,14,69,140,0,0,0
3,1,25,18,28,15,69,140,0,0,0
3,1,25,18,28,16,69,140,0,0,0
3,1,25,18,28,18,70,140,0,0,0
3,1,25,18,28,19,70,140,0,0,0
3,1,25,18,28,20,69,140,0,0,0
3,1,25,18,28,22,70,140,0,0,0
3,1,25,18,28,23,69,140,0,0,0
3,1,25,18,28,24,69,140,0,0,0
3,1,25,18,28,26,69,140,0,0,0
3,1,25,18,28,27,69,140,0,0,0
3,1,25,18,28,28,69,140,0,0,0
3,1,25,18,28,30,69,140,0,0,0
3,1,25,18,28,31,69,140,0,0,0
3,1,25,18,28,32,69,140,0,0,0
3,1,25,18,28,34,69,140,0,0,0
3,1,25,18,28,35,69,140,0,0,0
3,1,25,18,28,36,69,140,0,0,0
3,1,25,18,28,38,69,140,0,0,0
3,1,25,18,28,39,69,140,0,0,0
3,1,25,18,28,40,69,140,0,0,0
3,1,25,18,28,42,69,140,0,0,0
3,1,25,18,28,43,69,140,0,0,0
3,1,25,18,28,44,69,140,0,0,0
3,1,25,18,28,46,69,140,0,0,0
3,1,25,18,28,47,69,140,0,0,0
3,1,25,18,28,48,69,140,0,0,0
3,1,25,18,28,50,69,140,0,0,0
3,1,25,18,28,51,69,140,0,0,0
3,1,25,18,28,52,69,140,0,0,0
3,1,25,18,28,54,69,140,0,0,0
3,1,25,18,28,55,69,140,0,0,0
3,1,25,18,28,56,69,140,0,0,0
3,1,25,18,28,58,69,140,0,0,0
3,1,25,18,28,59,69,140,0,0,0
3,1,25,18,29,0,69,140,0,0,0
3,1,25,18,29,2,69,140,0,0,0
3,1,25,18,29,3,69,140,0,0,0
3,1,25,18,29,5,69,140,0,0,0
3,1,25,18,29,6,69,140,0,0,0
3,1,25,18,29,7,69,140,0,0,0
3,1,25,18,29,9,69,140,0,0,0
3,1,25,18,29,10,69,140,0,0,0
3,1,25,18,29,11,69,140,0,0,0
3,1,25,18,29,13,69,140,0,0,0
3,1,25,18,29,14,69,140,0,0,0
3,1,25,18,29,15,69,140,0,0,0
3,1,25,18,29,17,69,140,0,0,0
3,1,25,18,29,18,69,140,0,0,0
3,1,25,18,29,19,69,140,0,0,0
3,1,25,18,29,21,69,140,0,0,0
3,1,25,18,29,22,69,140,0,0,0
3,1,25,18,29,23,69,140,0,0,0
3,1,25,18,29,25,69,140,0,0,0
3,1,25,18,29,26,69,140,0,0,0
3,1,25,18,29,27,69,140,0,0,0
3,1,25,18,29,29,69,140,0,0,0
3,1,25,18,29,30,69,140,0,0,0
3,1,25,18,29,31,69,140,0,0,0
3,1,25,18,29,33,69,140,0,0,0
3,1,25,18,29,34,69,140,0,0,0
3,1,25,18,29,35,69,140,0,0,0
3,1,25,18,29,37,69,140,0,0,0
3,1,25,18,29,38,69,140,0,0,0
3,1,25,18,29,39,69,140,0,0,0
3,1,25,18,29,41,69,140,0,0,0
3,1,25,18,29,42,69,140,0,0,0
3,1,25,18,29,43,69,140,0,0,0
3,1,25,18,29,45,69,140,0,0,0
3,1,25,18,29,46,69,140,0,0,0
3,1,25,18,29,47,69,140,0,0,0
3,1,25,18,29,49,69,140,0,0,0
3,1,25,18,29,50,69,140,0,0,0
3,1,25,18,29,51,69,140,0,0,0
3,1,25,18,29,53,69,140,0,0,0
3,1,25,18,29,54,69,140,0,0,0
3,1,25,18,29,55,69,140,0,0,0
3,1,25,18,29,57,69,140,77,95,15
3,1,25,18,29,58,69,140,119,187,16
3,1,25,18,29,59,69,140,96,136,41
3,1,25,18,30,1,69,140,40,172,43
3,1,25,18,30,2,69,140,91,80,28
3,1,25,18,30,3,69,140,69,121,52
3,1,25,18,30,5,69,140,40,172,73
3,1,25,18,30,6,69,140,37,190,48
3,1,25,18,30,7,69,140,137,36,25
3,1,25,18,30,9,69,140,79,31,25
3,1,25,18,30,10,69,140,91,47,18
3,1,25,18,30,11,69,140,36,30,15
3,1,25,18,30,13,69,140,0,0,0
3,1,25,18,30,14,69,140,0,0,0
3,1,25,18,30,15,69,140,0,0,0
3,1,25,18,30,17,69,140,0,0,0
3,1,25,18,30,18,69,140,0,0,0
3,1,25,18,30,19,69,140,0,0,0
3,1,25,18,30,21,69,140,0,0,0
3,1,25,18,30,22,69,140,0,0,0
3,1,25,18,30,23,69,140,0,0,0
3,1,25,18,30,25,69,140,0,0,0
3,1,25,18,30,26,69,140,0,0,0
3,1,25,18,30,27,69,140,0,0,0
3,1,25,18,30,29,69,140,0,0,0
3,1,25,18,30,30,69,140,0,0,0
3,1,25,18,30,31,69,140,0,0,0
3,1,25,18,30,33,69,140,0,0,0
3,1,25,18,30,34,69,140,0,0,0
3,1,25,18,30,35,69,140,0,0,0
3,1,25,18,30,37,69,140,0,0,0
3,1,25,18,30,38,69,140,0,0,0
3,1,25,18,30,39,69,140,0,0,0
3,1,25,18,30,41,69,140,0,0,0
3,1,25,18,30,42,69,140,0,0,0
3,1,25,18,30,43,69,140,0,0,0
3,1,25,18,30,45,69,140,0,0,0
3,1,25,18,30,46,69,140,0,0,0
3,1,25,18,30,48,69,140,0,0,0
3,1,25,18,30,49,69,140,0,0,0
3,1,25,18,30,50,69,140,0,0,0
3,1,25,18,30,52,69,140,0,0,0
3,1,25,18,30,53,69,140,0,0,0
3,1,25,18,30,54,69,140,0,0,0
3,1,25,18,30,56,69,140,0,0,0
3,1,25,18,30,57,69,140,0,0,0
3,1,25,18,30,58,69,140,0,0,0
3,1,25,18,31,0,69,140,0,0,0
3,1,25,18,31,1,69,140,0,0,0
3,1,25,18,31,2,69,140,0,0,0
3,1,25,18,31,4,69,140,0,0,0
3,1,25,18,31,5,69,140,0,0,0
3,1,25,18,31,6,69,140,0,0,0
3,1,25,18,31,8,69,140,0,0,0
3,1,25,18,31,9,69,140,0,0,0
3,1,25,18,31,10,69,140,0,0,0
3,1,25,18,31,12,69,140,0,0,0
3,1,25,18,31,13,69,140,0,0,0
3,1,25,18,31,14,69,140,0,0,0
3,1,25,18,31,16,69,140,0,0,0
3,1,25,18,31,17,69,140,0,0,0
3,1,25,18,31,18,69,140,0,0,0
3,1,25,18,31,20,69,140,0,0,0
3,1,25,18,31,21,69,140,0,0,0
3,1,25,18,31,22,69,140,0,0,0
3,1,25,18,31,24,69,140,0,0,0
3,1,25,18,31,25,69,140,0,0,0
3,1,25,18,31,26,69,140,0,0,0
3,1,25,18,31,28,69,140,0,0,0
3,1,25,18,31,29,69,140,0,0,0
3,1,25,18,31,30,69,140,0,0,0
3,1,25,18,31,32,69,140,0,0,0
3,1,25,18,31,33,69,140,0,0,0
3,1,25,18,31,34,69,140,0,0,0
3,1,25,18,31,36,69,140,0,0,0
3,1,25,18,31,37,69,140,0,0,0
3,1,25,18,31,38,69,140,0,0,0
3,1,25,18,31,40,69,140,0,0,0
3,1,25,18,31,41,69,140,0,0,0
3,1,25,18,31,42,69,140,0,0,0
3,1,25,18,31,44,69,140,0,0,0
3,1,25,18,31,45,69,140,0,0,0
3,1,25,18,31,46,69,140,0,0,0
3,1,25,18,31,48,69,140,0,0,0
3,1,25,18,31,49,69,140,0,0,0
3,1,25,18,31,50,69,140,0,0,0
3,1,25,18,31,52,69,140,0,0,0
3,1,25,18,31,53,69,140,0,0,0
3,1,25,18,31,54,69,140,0,0,0
3,1,25,18,31,56,69,140,0,0,0
3,1,25,18,31,57,69,140,0,0,0
3,1,25,18,31,58,68,140,0,0,0
3,1,25,18,32,0,68,140,0,0,0
3,1,25,18,32,1,68,140,0,0,0
